organization_id,organization_name,organization_type,partner_country,website_url,contact_url,email_status,lead_readiness,fetch_status,notes,source_project_urls,score
org_universit_degli_studi_di_firenze_italy_u_a0bfa05d,Università degli Studi di Firenze,Higher education and research organisations,Italy,https://www.unifi.it,https://www.unifi.it/changelang-eng.html,email_not_found_scrape_blocked,manual_review_needed,http_error_403,http_error_403,https://keep.eu/projects/31586/ | https://keep.eu/projects/33256/ | https://keep.eu/projects/33266/ | https://keep.eu/projects/29223/,4.8
org_greece_certh_gr_f6d70492,Εθνικό Κέντρο Έρευνας Και Τεχνολογικής Ανάπτυξης (Πτολεμαΐδα),Higher education and research organisations,Greece,http://www.certh.gr,http://www.certh.gr,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/32768/ | https://keep.eu/projects/32765/ | https://keep.eu/projects/32766/ | https://keep.eu/projects/29247/ | https://keep.eu/projects/29242/ | https://keep.eu/projects/29229/ | https://keep.eu/projects/29211/,4.7
org_rea_metropolitana_de_barcelona_spain_8980308c,Àrea Metropolitana de Barcelona,Local public authority,Spain,,https://keep.eu/projects/32760/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=keep_eu_html_project_32760,https://keep.eu/projects/32760/,4.7
org_ag_ncia_catalana_de_turisme_spain_act_ca_6d318cd3,AGÈNCIA CATALANA DE TURISME,Sectoral agency,Spain,http://www.act.cat,http://www.act.cat,email_not_found_manual_review,manual_review_needed,url_error,url_error,https://keep.eu/projects/31597/,4.7
org_regione_liguria_italy_regione_liguria_it_4b98f733,Regione Liguria,Regional public authority,Italy,https://www.regione.liguria.it,https://www.regione.liguria.it/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/31597/,4.7
org_mancomunidad_tur_stica_de_sierra_espu_a_117852a1,Mancomunidad Turística de Sierra Espuña,Local public authority,Spain,https://territoriosierraespuna.com,https://territoriosierraespuna.com/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/31594/,4.7
org_ayuntamiento_de_quart_de_poblet_spain_90723f2d,Ayuntamiento de Quart de Poblet,Local public authority,Spain,,https://keep.eu/projects/31590/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=keep_eu_html_project_31590,https://keep.eu/projects/31590/,4.7
org_pk_rs_podru_na_privredna_komora_banja_lu_c1ea9bb7,PK RS – Područna privredna komora Banja Luka,Business support organisation,Bosnia and Herzegovina,http://www.bl.komorars.ba,http://www.bl.komorars.ba,email_not_found_manual_review,manual_review_needed,url_error,url_error,https://keep.eu/projects/31585/,4.7
org_confartigianato_imprese_sud_sardegna_ita_4a5b574c,Confartigianato Imprese Sud Sardegna,Unknown,Italy,https://confartigianato.cagliari.it,https://confartigianato.cagliari.it/,email_not_found_no_contact_channel,not_outreach_ready,ok,page_fetched but no email found,https://keep.eu/projects/33265/,4.65
org_consiglio_nazionale_delle_ricerche_italy_8289f8f7,Consiglio Nazionale delle Ricerche,Higher education and research organisations,Italy,https://www.cnr.it,https://www.cnr.it/,email_not_found_manual_review,manual_review_needed,url_error,url_error,https://keep.eu/projects/33264/ | https://keep.eu/projects/29232/ | https://keep.eu/projects/29226/,5.0
org_generaci_n_de_energ_as_alternativas_s_l_7ababe44,"Generación de Energías Alternativas, S.L.U.",Private Company,Spain,http://www.grupoenercoop.es,http://www.grupoenercoop.es,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33264/,4.65
org_camara_oficial_de_comercio_industria_ser_c8623e1d,"CAMARA OFICIAL DE COMERCIO INDUSTRIA, SERVICIOS Y NAVEGACION DE VALENCIA",Chamber of Commerce,Spain,http://www.camaravalencia.com,http://www.camaravalencia.com,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33260/,4.65
org_fundaci_de_recerca_cl_nic_barcelona_inst_1d3add50,Fundació de Recerca Clínic Barcelona-Institut d’Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS),Foundation / NGO,Spain,https://www.clinicbarcelona.org,https://www.clinicbarcelona.org/en/idibaps,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33257/,4.65
org_hospital_cl_nic_de_barcelona_spain_clini_29aaa265,Hospital Clínic de Barcelona,Unknown,Spain,https://www.clinicbarcelona.org,https://www.clinicbarcelona.org/en,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33257/,4.65
org_universitat_jaume_i_de_castell_spain_uji_4700b716,UNIVERSITAT JAUME I DE CASTELLÓ,University / Research,Spain,http://www.uji.es,http://www.uji.es,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33250/,4.65
org_universitat_de_barcelona_spain_ub_edu_98638501,Universitat de Barcelona,University / Research,Spain,http://www.ub.edu,http://www.ub.edu/diopma,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33247/ | https://keep.eu/projects/33263/,4.65
org_vitale_tecnologie_comunicazione_viteco_s_a87945f2,VITALE TECNOLOGIE COMUNICAZIONE VITECO SRL,Private Company,Italy,https://www.vitecoelearning.eu,https://www.vitecoelearning.eu/en,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33243/,4.65
org_asociaci_n_espa_ola_para_la_internaciona_803d9022,ASOCIACIÓN ESPAÑOLA PARA LA INTERNACIONALIZACIÓN Y LA INNOVACIÓN DE LAS EMPRESAS SOLARES,Unknown,Spain,https://www.solartys.org,https://www.solartys.org/en/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33241/,4.65
org_exo_soc_cons_a_r_l_italy_exo_ricerca_it_421bdf8d,EXO Soc. Cons. a R. L.,Unknown,Italy,https://exo-ricerca.it,https://exo-ricerca.it/,email_not_found_no_contact_channel,not_outreach_ready,ok,page_fetched but no email found,https://keep.eu/projects/33236/,4.65
org_anysolution_s_l_spain_anysolution_eu_79c10666,AnySolution S.L.,Private Company,Spain,https://www.anysolution.eu,https://www.anysolution.eu/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33236/,4.65
org_ag_ncia_de_residus_de_catalunya_spain_me_b92c1e5f,Agència de Residus de Catalunya,Unknown,Spain,https://www.medwaves-centre.org,https://www.medwaves-centre.org/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33235/ | https://keep.eu/projects/32763/,4.65
org_fondazione_museo_del_tessuto_di_prato_it_e39ee019,Fondazione Museo del Tessuto di Prato,Foundation / NGO,Italy,,https://keep.eu/projects/33235/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=keep_eu_html_project_27353,https://keep.eu/projects/33235/ | https://keep.eu/projects/27353/ | https://keep.eu/projects/28812/,4.65
org_institut_europeu_de_la_mediterr_nia_spai_0ef280dd,Institut Europeu de la Mediterrània,Unknown,Spain,http://www.iemed.org,http://www.iemed.org,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33233/,4.65
org_asociaci_n_para_el_desarrollo_de_la_coma_721d0248,Asociación para el Desarrollo de la Comarca del Aljarafe-Doñana,Interest groups including NGOs,Spain,,https://keep.eu/projects/32768/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=keep_eu_html_project_32768,https://keep.eu/projects/32768/,4.65
org_y_greece_ypen_gov_gr_b2b5a495,YΠΟΥΡΓΕΙΟ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ,National public authority,Greece,https://ypen.gov.gr,https://ypen.gov.gr/,email_not_found_scrape_blocked,manual_review_needed,http_error_403,http_error_403,https://keep.eu/projects/33259/,4.6
org_asociaci_n_catalana_para_la_innovaci_n_y_0e1d5607,"Asociación Catalana para la Innovación y la Internacionalización del Sector del Agua, Catalan Water Partnership",Business support organisation,Spain,,https://keep.eu/projects/32766/,email_not_found_no_website,not_outreach_ready,skipped_no_own_url,,https://keep.eu/projects/32766/,4.6
org_universit_di_torino_italy_unito_it_34692cf6,Università di Torino,Higher education and research organisations,Italy,http://www.unito.it,http://www.unito.it,email_not_found_scrape_blocked,manual_review_needed,http_error_403,http_error_403,https://keep.eu/projects/32764/ | https://keep.eu/projects/29247/,5.0
org_centro_europeo_de_empresas_e_innovaci_n_6f4fa8ff,Centro Europeo de Empresas e Innovación de Valencia,Business support organisation,Spain,,https://keep.eu/projects/31596/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=keep_eu_html_project_31596,https://keep.eu/projects/31596/ | https://keep.eu/projects/30102/,4.8
org_universit_degli_studi_di_siena_italy_uni_926f4380,Università degli studi di Siena,Higher education and research organisations,Italy,https://www.unisi.it,https://www.unisi.it/,email_not_found_scrape_blocked,manual_review_needed,http_error_403,http_error_403,https://keep.eu/projects/31595/ | https://keep.eu/projects/33245/,4.6
org_stazione_zoologica_anton_dohrn_italy_4aea02e6,Stazione Zoologica Anton Dohrn,Higher education and research organisations,Italy,,https://keep.eu/projects/31595/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=keep_eu_html_project_27351,https://keep.eu/projects/31595/ | https://keep.eu/projects/30105/ | https://keep.eu/projects/27351/ | https://keep.eu/projects/23484/,4.6
org_turisti_ka_zajednica_splitsko_dalmatinsk_7f6012dc,TURISTIČKA ZAJEDNICA SPLITSKO-DALMATINSKE ŽUPANIJE,Sectoral agency,Croatia,https://www.dalmatia.hr,https://www.dalmatia.hr/,email_not_found_no_contact_channel,not_outreach_ready,ok,page_fetched but no email found,https://keep.eu/projects/31593/,4.6
